#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.75503  0.61878 -0.02577 -0.91272  0.000000  0.000000  0.000000     1.000
   1.77049  0.63416 -0.02417 -0.90472  0.000000  0.000000  0.000000     1.000
   1.78595  0.64954 -0.02256 -0.89618  0.000000  0.000000  0.000000     1.000
   1.80141  0.66491 -0.02097 -0.88759  0.000000  0.000000  0.000000     1.000
   1.81685  0.68028 -0.01938 -0.87874  0.000000  0.000000  0.000000     1.000
   1.83229  0.69563 -0.01782 -0.86910  0.000000  0.000000  0.000000     1.000
   1.84772  0.71098 -0.01627 -0.85770  0.000000  0.000000  0.000000     1.000
   1.86306  0.72625 -0.01475 -0.84678  0.000000  0.000000  0.000000     1.000
   1.87819  0.74131 -0.01326 -0.82522  0.000000  0.000000  0.000000     1.000
   1.89268  0.75574 -0.01199 -0.79740  0.000000  0.000000  0.000000     1.000
   1.90700  0.77004 -0.01124 -0.79760  0.000000  0.000000  0.000000     1.000
   1.92176  0.78480 -0.01091 -0.80736  0.000000  0.000000  0.000000     1.000
   1.93676  0.79979 -0.01082 -0.81445  0.000000  0.000000  0.000000     1.000
   1.95188  0.81492 -0.01091 -0.82119  0.000000  0.000000  0.000000     1.000
   1.96709  0.83013 -0.01114 -0.82704  0.000000  0.000000  0.000000     1.000
   1.98235  0.84538 -0.01148 -0.83215  0.000000  0.000000  0.000000     1.000
   1.99765  0.86067 -0.01190 -0.83661  0.000000  0.000000  0.000000     1.000
   2.01296  0.87598 -0.01241 -0.84064  0.000000  0.000000  0.000000     1.000
   2.02830  0.89131 -0.01298 -0.84373  0.000000  0.000000  0.000000     1.000
   2.04365  0.90664 -0.01361 -0.84697  0.000000  0.000000  0.000000     1.000
   2.05901  0.92199 -0.01430 -0.84915  0.000000  0.000000  0.000000     1.000
   2.07437  0.93733 -0.01504 -0.85190  0.000000  0.000000  0.000000     1.000
   2.08974  0.95268 -0.01583 -0.85437  0.000000  0.000000  0.000000     1.000
   2.10517  0.96809 -0.01665 -0.85642  0.000000  0.000000  0.000000     1.000
   2.12059  0.98349 -0.01750 -0.85620  0.000000  0.000000  0.000000     1.000
   2.13601  0.99888 -0.01837 -0.85551  0.000000  0.000000  0.000000     1.000
   2.15142  1.01426 -0.01926 -0.85278  0.000000  0.000000  0.000000     1.000
   2.16677  1.02959 -0.02019 -0.84905  0.000000  0.000000  0.000000     1.000
   2.18205  1.04484 -0.02117 -0.83943  0.000000  0.000000  0.000000     1.000
   2.19679  1.05953 -0.02229 -0.82486  0.000000  0.000000  0.000000     1.000
   2.21147  1.07414 -0.02380 -0.83318  0.000000  0.000000  0.000000     1.000
   2.22597  1.08853 -0.02557 -0.83249  0.000000  0.000000  0.000000     1.000
   2.23962  1.10203 -0.02758 -0.84043  0.000000  0.000000  0.000000     1.000
   2.24632  1.10863 -0.02873 -0.83346  0.000000  0.000000  0.000000     1.000
